q_id,question,crop,question_type,llm,answer,time_s,tokens,rouge1,rouge2,rougeL,bleu1,bleu2,bleu4,meteor,relevance,completeness,practicality,heuristic_avg,combined_score
1,What is the recommended seed rate for rice per hectare?,rice,factual,Groq — LLaMA 3.1 8B,"Based on the provided context, the recommended seed rate for rice per hectare varies depending on the type of rice.

For transplanted hybrid rice, the seed rate is 20 kg per hectare (Source: AGRICULTURE.pdf, Page 40).

For transplanted puddled lowland rice, the seed rate is:
- 30 kg for long duration varieties
- 40 kg for medium duration varieties
- 60 kg for short duration varieties
- 20 kg for hybrids (Source: AGRICULTURE.pdf, Page 29).

For direct seeded rice, the seed rate is 8-10 kg per acre (Source: pp_kharif.pdf, Page 33). To convert this to hectares, we need to know that 1 acre is approximately 0.4047 hectares. Therefore, the seed rate for direct seeded rice is approximately 3.24-4 kg per hectare.

For general rice cultivation, the seed rate is 5 kg/ha (Source: AGRICULTURE.pdf, Page 213).

For Kolunchi / wild indigo (Tephrosia purpurea), the seed rate is 15-20 kg per hectare (Source: Field-Crop-Kharif (1).pdf, Page 93).

Therefore, the recommended seed rate for rice per hectare depends on the specific type of rice being cultivated.",0.73,287,0.504,0.4274,0.408,0.341,0.3,0.2246,0.6337,1.0,1.0,1.0,1.0,0.7213
1,What is the recommended seed rate for rice per hectare?,rice,factual,Cohere — Command-R,"The recommended seed rate for rice per hectare varies depending on the type of rice and the duration of the crop. Here are the seed rates for different rice varieties:

1. Long duration varieties: 30 kg per hectare
2. Medium duration varieties: 40 kg per hectare
3. Short duration varieties: 60 kg per hectare
4. Hybrids: 20 kg per hectare
5. For direct seeding, the seed rate is 8-10 kg per acre, which is equivalent to approximately 20-25 kg per hectare.
6. For rice fallows, a seed rate of 5 kg/ha is recommended, with a spacing of 30 cm between rows and plants.

It is important to note that these seed rates are general guidelines, and farmers may need to adjust based on their specific conditions and preferences.",8.81,182.0,0.6231,0.3858,0.4322,0.4789,0.3639,0.2398,0.5935,1.0,1.0,1.0,1.0,0.736
1,What is the recommended seed rate for rice per hectare?,rice,factual,Cerebras — GPT-OSS 120B,"**Recommended seed rate for rice (per hectare)**  

| Production system | Variety type | Seed rate (kg / ha) | Notes from the source |
|-------------------|--------------|--------------------|-----------------------|
| **Transplanted (nursery)** | Hybrid rice | **20 kg / ha** | AGRICULTURE.pdf p.40 – “Seed rate 20 kg per hectare Nursery” |
| Transplanted (nursery) | Long‑duration varieties | **30 kg / ha** | AGRICULTURE.pdf p.29 – “Seed rate 30 kg for long duration” |
|",0.55,400,0.5161,0.2787,0.3548,0.2113,0.1499,0.0675,0.2725,1.0,0.7,1.0,0.9,0.6014
1,What is the recommended seed rate for rice per hectare?,rice,factual,Sarvam AI — Sarvam-105B,"Based on the context provided, the recommended seed rate for rice per hectare varies depending on the method of planting:

- For transplanted rice (wet nursery): 20 kg per hectare for hybrids and 30-60 kg per hectare for long, medium, or short duration varieties.
- For direct seeded rice: 8-10 kg per acre (which is approximately 20-25 kg per hectare).
- For rice fallows (broadcast method): 5 kg per hectare.

Note: The context provides different seed rates for different planting methods and rice varieties. The most commonly mentioned rate for transplanted rice is 20 kg per hectare for hybrids.",1.89,141,0.6108,0.3636,0.515,0.4492,0.3159,0.2073,0.533,1.0,1.0,0.75,0.9167,0.6916
2,What are the major diseases that affect rice crop?,rice,factual,Groq — LLaMA 3.1 8B,"Based on the provided context, the major diseases of national significance that affect the rice crop are:

1. Rice blast (Pyricularia oryzae Cavara)
2. Bacterial leaf blight (Xanthomonas campestris pv oryzae (Ishiyama Swings et al.))
3. Red rot (no specific details provided in the context, but it is mentioned that crop rotation with rice for one season and other crops for two seasons could be adopted)
4. Smut (Sporisorium scitamineum (Ustilago scitaminea))
5. False smut disease (no specific details provided in the context, but it is mentioned that fungicides should be sprayed at the boot stage of the crop)

To control these diseases, the following steps can be taken:

- For Red rot: 
  - Spread and burn the trash of the affected field after harvest.
  - Adopt crop rotation with rice for one season and other crops for two seasons.

- For Smut: 
  - Roguing of smut whips with gunny bags/polythene bags and burn them.
  - Discourage ratooning of the diseased crops.

- For False smut disease: 
  - Initiate the spray of recommended fungicides at the boot stage of the crop.

Note: The context does not provide specific details on the quantities and timing of the fungicides to be used for false smut disease.",1.17,301,0.3254,0.2,0.2619,0.2128,0.1624,0.1131,0.4898,1.0,1.0,1.0,1.0,0.6487
2,What are the major diseases that affect rice crop?,rice,factual,Cohere — Command-R,"The major diseases that affect rice crops are:

1. Rice blast (Pyricularia oryzae Cavara): To manage this disease, farmers should practice crop rotation with non-rice crops during the dry season to reduce disease reservoirs. Additionally, intercropping upland rice with soybean can help reduce the incidence of leafhoppers, which are vectors for disease transmission. 

2. Bacterial leaf blight (Xanthomonas campestris pv. oryzae): This disease can be managed by avoiding excessive use of nitrogen fertilizers, as high nitrogen levels encourage pest and disease multiplication. Initiating the spray of recommended fungicides at the boot stage of the crop can help control false smut disease, which is often associated with bacterial leaf blight. 

3. Red rot: To manage red rot, it is recommended to spread and burn the trash of affected fields after harvest. Crop rotation with rice for one season and other crops for two seasons can also be adopted to break the disease cycle. 

4. Smut (Sporisorium scitamineum): Roguing of smut whips with gunny or polythene bags and subsequent burning is an effective control measure. It is also advisable to discourage ratooning (the practice of allowing the crop to regrow from the previous season's stubble) of diseased crops to prevent the spread of smut. 

5. Brown planthopper (Nilaparvata lugens): This pest is often associated with high populations of leafhoppers. To manage brown planthoppers, farmers should avoid high dosages of nitrogenous fertilizers, maintain proper spacing between plants, and control relative humidity to prevent the buildup of planthopper populations. 

By implementing these practical measures, farmers can effectively manage the major diseases affecting rice crops, ensuring healthier plants and higher yields.",8.43,369.0,0.2167,0.0997,0.1858,0.1438,0.0869,0.0571,0.3768,1.0,1.0,1.0,1.0,0.6046
2,What are the major diseases that affect rice crop?,rice,factual,Cerebras — GPT-OSS 120B,"**Major diseases that affect rice (as mentioned in the provided material)**  

1. **Rice blast** – caused by *Pyricularia oryzae* (Cavara)  
2. **Bacterial leaf blight** – caused by *Xanthomonas campestris* pv. *oryzae* (Ishiyama)  
3. **Red rot** – (pathogen not specified in the excerpt) – managed by burning trash after harvest and crop‑rotation practices.  
4. **Smut (false smut)** – caused by *Sporisorium scitamineum* (Ustilago scitaminea) – controlled by roguing (removing) infected whips and burning them.  

These are the key rice diseases highlighted in the given context.",0.78,372,0.4627,0.197,0.3284,0.2836,0.16,0.0459,0.4216,1.0,1.0,0.5,0.8333,0.5739
2,What are the major diseases that affect rice crop?,rice,factual,Sarvam AI — Sarvam-105B,"Based on the provided context, the major diseases that affect the rice crop are:

1.  **Rice blast** (caused by *Pyricularia oryzae Cavara*)
2.  **Bacterial leaf blight** (caused by *Xanthomonas campestris pv oryzae*)
3.  **False smut disease**

The context also mentions **Smut** (*Sporisorium scitamineum*) as a disease, but it is not listed under the ""Major Diseases of National Significance.""",1.31,108,0.5133,0.3423,0.4425,0.4,0.2843,0.1679,0.4556,1.0,0.7,0.25,0.65,0.5224
3,How to control stem borer in paddy crop?,rice,howto,Groq — LLaMA 3.1 8B,"To control stem borer in paddy crop, follow these steps:

1. **Recommended Varieties**: Grow short to medium duration rice varieties that provide more time for straw management and minimize pink stem borer infestation in succeeding wheat crop.

2. **Straw Management**: In light textured soils, prefer straw incorporation. In medium and heavy textured soils, use techniques to manage paddy straw in the field.

3. **Irrigation**: Irrigate the fields during day time to maximize predation of insects by birds.

4. **Mulching**: Immediately after sowing, apply 4.0 tonnes per acre of paddy straw mulch. This will help in weed control and also reduce the load of straw that can attract stem borers.

5. **Neem Based Biopesticides**: If needed, use neem based biopesticides to control insect-pests.

**Timing**:
- Sow recommended rice varieties at the right time.
- Irrigate the fields during day time.
- Apply paddy straw mulch immediately after sowing.
- Use neem based biopesticides if necessary.

**Quantities**:
- 4.0 tonnes per acre of paddy straw mulch.

**Steps**:
- Grow recommended rice varieties.
- Manage paddy straw in the field.
- Irrigate the fields during day time.
- Apply paddy straw mulch immediately after sowing.
- Use neem based biopesticides if necessary.
- Control weeds by hand weeding if any escaped weeds are present.",0.77,311,0.4672,0.3235,0.2993,0.2536,0.2045,0.1567,0.5267,1.0,1.0,1.0,1.0,0.6813
3,How to control stem borer in paddy crop?,rice,howto,Cohere — Command-R,"To control stem borer in the paddy crop, farmers can implement the following practical steps:

1. Crop Selection: Grow recommended short to medium duration rice varieties. These varieties provide more time for straw management and help minimize pink stem borer infestation in the succeeding wheat crop.

2. Straw Management: In light-textured soils, prefer straw incorporation. This practice helps manage the straw load and reduces the risk of stem borer infestation.

3. Timing of Sowing: Avoid sowing wheat in the month of October if there has been severe damage from pink stem borer or rice ear cutting caterpillar in the previous paddy crop. This timing adjustment can help reduce the population of stem borers.

4. Happy Seeder/Smart Seeder/Super Seeder: Utilize these seeders for sowing. Ensure regular maintenance and care to prevent clogging of seed and fertilizer tubes. Tap the tubes with a stick if needed to remove any blockages.

5. Row Spacing: When using the Happy Seeder, maintain an 8-inch row spacing. This spacing facilitates better weed control and promotes higher crop yields.

6. Mulching: Immediately after sowing, apply 4.0 tonnes per acre of paddy straw mulch. Mulching helps suppress weeds and creates a favorable environment for crop establishment.

7. Weed Control: Hand weeding can be employed to remove any escaped weeds that may provide hiding places for stem borers.

8. Insect-Pest Control: If necessary, use neem-based biopesticides to control insect pests effectively. Neem-based products are known for their low environmental impact and effectiveness against a range of pests.

9. Irrigation Timing: Prefer to irrigate the fields during the daytime. This practice attracts birds, which can help control insects and reduce the stem borer population through predation.

10. Monitor and Act: Regularly monitor the crop for any signs of stem borer damage,",24.74,400.0,0.3243,0.2228,0.2054,0.1927,0.1557,0.1061,0.431,1.0,1.0,1.0,1.0,0.6333
